furry,0,78210,"anthro,kemono"
hair-tubes,0,78044,hair-tube
partial-commentary,5,78023,
blue-ribbon,0,77646,
frilled-skirt,0,77606,"frilly-skirt,ruffled-skirt"
cloudy-sky,0,77472,
feathers,0,77429,feather
pink-bow,0,77099,
red-necktie,0,77096,
x-hair-ornament,0,76794,
black-nails,0,76717,black-fingernails
backpack,0,76538,"back-pack,ranset,rucksack"
red-flower,0,76499,
light-smile,0,76384,"faint-smile,slight-smile"
3boys,0,76253,3boy
bara,0,76234,
suit,0,76220,
eyes-visible-through-hair,0,76208,eye-through-hair
mob-cap,0,75995,"pillow-hat,pillowhat"
sleeping,0,75499,"asleep,sleep"
plant,0,75406,plants
skirt-lift,0,75006,"lifted-skirt,lifting-skirt,lift-skirt,skirtlift,skirt-up,skirt-up,/skl"
1other,0,74274,sole-other
topless,0,74199,"top-less,topless-(female)"
cross,0,74112,
suspenders,0,74082,suspender
bottle,0,73739,bottles
blazer,0,73644,
looking-up,0,73441,
red-shirt,0,73405,red-blouse
mahou-shoujo-madoka-magica,3,73393,"madoka-magica,/msmm,/pmmm,puella-magi-madoka-magica"
motion-lines,0,73333,
ear-piercing,0,73210,"pierced-ear,pierced-ears"
fire,0,73117,"flame,flames"
yaoi,0,73078,"boy-love,boy's-love,boys-love,gay,shonen-ai,shounen-ai"
denim,0,73065,
white-apron,0,72726,
couple,0,72694,romance
elf,0,72495,"elf-ears,elven-ears"
kirisame-marisa,4,72481,"/km,marisa-kirisame"
spiked-hair,0,72395,"spikey-hair,spiky-hair"
stuffed-animal,0,71534,"nuigurumi,plushie,plushies,plushy,stuffed-animals"
?,0,71448,question-mark
bug,0,71150,"bugs,insect,insects"
single-hair-bun,0,71135,"bun,hair-bun,hairbun"
light-blush,0,71003,
straddling,0,70985,straddle
black-leotard,0,70596,
crown,0,70437,
red-bowtie,0,70260,
clenched-teeth,0,70213,"gritted-teeth,gritting-teeth"
holding-cup,0,70210,"holding-drinking-glass,holding-glass,holding-goblet,holding-mug,holding-sakazuki,holding-teacup"
cover,0,70070,front-cover
formal-clothes,0,69718,
variant-set,5,69645,
skeb-commission,5,69533,
hololive-english,3,69415,
juliet-sleeves,0,69403,"puffy-shoulder-long-sleeves,puffy-shoulders-long-sleeves"
horse-tail,0,69318,
grabbing-another's-breast,0,69162,"boob-grab,breast-grab,breasts-grab,grabbing-breasts"
fellatio,0,68991,"blow-job,blowjob,felatio,sucking-cock,sucking-dick,sucking-penis"
tassel,0,68923,"tassels,tassle"
;d,0,68907,
outstretched-arms,0,68878,arms-outstretched
t-shirt,0,68824,"t-shirt,tshirt"
game-cg,5,68796,"cg-game,game-asset,gamecg"
holding-gun,0,68656,
slit-pupils,0,68412,"cat-eyes,snake-eyes"
sex-from-behind,0,68145,"from-behind-position,penetration-from-behind,taken-from-behind"
gem,0,68039,"gems,gemstone,gemstones,jewel,jewels,precious-stone,precious-stones"
shoulder-armor,0,68000,shoulder-armour
curtains,0,67777,"curtain,drapes"
white-pupils,0,67710,
pantyshot,0,67691,"panchira,panty-flash,panty-shot"
lifting-own-clothes,0,67657,
bdsm,0,67573,
robot,0,67505,
straight-hair,0,67356,
on-stomach,0,67198,"lying-on-stomach,on-belly,on-front,prone"
outstretched-arm,0,67099,arm-outstretched
grey-shirt,0,67084,"gray-shirt,grey-blouse"
pointing,0,67078,
paid-reward-available,5,67006,reward-available
sneakers,0,67002,tennis-shoes
knee-boots,0,66874,"kneeboots,kneehigh-boots"
>_<,0,66609,><
aged-down,0,66593,"de-aged,younger"
underwear-only,0,66512,
black-necktie,0,66499,
red-footwear,0,66302,"red-boots,red-shoes"
girl-on-top,0,66226,female-on-top
hat-ribbon,0,66057,"hatband,hat-ribbons"
knife,0,66048,knives
tiara,0,66029,
sisters,0,66014,
head-wings,0,65920,headwings
girls-und-panzer,3,65865,
katana,0,65779,katanas
crossover,0,65741,
breasts-out,0,64907,"breasts-out-of-clothes,breasts-outside"
blue-sailor-collar,0,64849,
yellow-background,0,64676,/yellowbg
facing-viewer,0,64552,
feathered-wings,0,64496,feather-wings
animal-print,0,64380,animalprint
messy-hair,0,64296,"bed-head,morning-hair"
rabbit-tail,0,64294,bunny-tail
eyewear-on-head,0,64211,"glasses-on-head,sunglasses-on-head"
school-swimsuit,0,63961,"school-swimsuits,/ss,sukimizu,sukumizu"
girls'-frontline,3,63955,girls-frontline
hand-on-own-chest,0,63726,"hand-on-chest,hand-to-chest,hand-to-own-chest"
bandaid,0,63723,"band-aid,band-aids,bandaids"
